PooledFundId,AllocationYear,ReportApprovedDate,AllocationTypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
15,2015,2016-05-11,8,2,4,245897.81,21009.0,29050.0,15647.0,16147.0,13152.0,19004.0,13374.0,13535.0
15,2015,2016-05-12,9,1,11,274624.06,12495.0,12495.0,4998.0,5712.0,7359.0,7894.0,8995.0,8553.0
15,2015,2016-05-16,7,2,1,463887.0,2250.0,17050.0,2250.0,5950.0,2250.0,16950.0,2250.0,6050.0
15,2015,2016-05-16,7,2,7,919456.0,116414.0,157372.0,179281.0,186509.0,98854.0,136817.0,151245.0,156274.0
15,2015,2016-05-16,8,2,1,240695.22,1070.0,1910.0,1025.0,1025.0,2397.0,4338.0,2293.0,2387.0
15,2015,2016-05-16,8,2,7,672739.67,76745.0,83390.0,46368.0,50529.0,82969.0,108352.0,54550.0,52460.0
15,2015,2016-05-16,8,2,11,203947.35,6106.0,7211.0,3632.0,3229.0,6106.0,7211.0,3632.0,3229.0
15,2015,2016-05-17,8,2,7,907484.39,176282.0,209728.0,71571.0,74487.0,160201.0,185437.0,105296.0,122760.0
15,2015,2016-05-19,8,2,1,227723.18,8676.0,11156.0,6044.0,7827.0,7348.0,14724.0,5871.0,8396.0
15,2015,2016-05-19,8,2,3,204200.0,150.0,100.0,1350.0,1650.0,149.0,101.0,1400.0,1600.0
15,2015,2016-05-19,8,2,7,587665.83,153660.0,230498.0,55993.0,56555.0,116160.0,139979.0,74515.0,80981.0
15,2015,2016-05-19,9,1,1,264960.89,1536.0,2343.0,2020.0,2181.0,1614.0,2463.0,2123.0,2294.0
15,2015,2016-05-23,7,2,7,150000.0,1875.0,13984.0,10.0,68.0,1875.0,25000.0,50.0,853.0
15,2015,2016-05-25,7,2,3,464984.0,,,27000.0,27000.0,466.0,324.0,26378.0,28576.0
