PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
15,2015,2016-06-23,8,2,300742.65,14190.0,17028.0,19157.0,20575.0,14190.0,17028.0,19157.0,20575.0,,,,,,,,
15,2015,2016-06-26,7,2,2500000.0,21000.0,21000.0,,,20279.0,20279.0,,,,,,,,,,
15,2015,2016-06-26,8,2,99009.9,12351.0,12230.0,13215.0,12857.0,10489.0,10383.0,11199.0,10929.0,,,,,,,,
15,2015,2016-06-26,11,2,1200000.0,840.0,840.0,,,981.0,981.0,,,,,,,,,,
15,2015,2016-06-27,8,2,517705.68,19737.0,25247.0,23182.0,24271.0,38169.0,55298.0,45176.0,74459.0,,,,,,,,
15,2015,2016-07-04,8,2,123762.45,15590.0,10290.0,,,10722.0,15805.0,,,,,,,,,,
15,2015,2016-07-10,8,2,252346.53,8845.0,9200.0,13260.0,13805.0,8845.0,9200.0,13260.0,13805.0,,,,,,,,
15,2015,2016-07-10,11,2,297025.57,8550.0,9279.0,13361.0,13810.0,8550.0,9279.0,13361.0,13810.0,,,,,,,,
15,2015,2016-07-11,8,2,263792.09,3268.0,3548.0,1214.0,1307.0,3268.0,3548.0,1214.0,1307.0,,,,,,,,
15,2015,2016-07-17,8,2,751259.98,146218.0,154255.0,107305.0,112873.0,82961.0,104239.0,200928.0,212539.0,,,,,,,,
15,2015,2016-07-17,11,2,2407991.34,,,2374681.0,2471606.0,,,2378922.0,2476021.0,,,,,,,,
15,2015,2016-07-19,8,2,865008.24,2934.0,38838.0,28566.0,29889.0,3973.0,21968.0,24953.0,27571.0,,,,,,,,
