LocationID,Location,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude
9650, Aleppo > A'zaz > Aghtrin > Baruz,Aleppo,36.206013,37.15242
9651, Aleppo > A'zaz > Aghtrin > Ghorur,Aleppo,36.206013,37.15242
9652, Aleppo > A'zaz > Suran > Dweibeq,Aleppo,36.206013,37.15242
9653, Aleppo > A'zaz > Suran > Ehteimlat,Aleppo,36.206013,37.15242
9654, Aleppo > A'zaz > Suran > Albil,Aleppo,36.206013,37.15242
9655, Idleb > Harim > Dana > Kafr Kafaldin,Idleb,35.929008,36.635276
9656, Aleppo > Jebel Saman (Aleppo) > Atareb,Aleppo,36.206013,37.15242
9657, Idleb > Harim > Dana,Idleb,35.929008,36.635276
9658, Aleppo > A'zaz > Suran > Qara Kubri,Aleppo,36.206013,37.15242
9659, Aleppo > Afrin > Jandairis > Koban,Aleppo,36.206013,37.15242
9660, Aleppo > Afrin > Jandairis > Tatara-Tataranli,Aleppo,36.206013,37.15242
9661, Aleppo > Afrin > Jandairis > Kordan,Aleppo,36.206013,37.15242
9662, Aleppo > Afrin > Jandairis > Qila,Aleppo,36.206013,37.15242
9663, Aleppo > Afrin > Jandairis > Abu Ka'ab,Aleppo,36.206013,37.15242
9664, Aleppo > Afrin > Jandairis > Tal Hamo,Aleppo,36.206013,37.15242
9665, Aleppo > Afrin > Jandairis > Haji Hasanli,Aleppo,36.206013,37.15242
9666, Aleppo > Afrin > Jandairis > Hmlak-Hmelek,Aleppo,36.206013,37.15242
9667, Aleppo > Afrin > Jandairis > Kharzan,Aleppo,36.206013,37.15242
9668, Aleppo > Afrin > Jandairis > Hajilar,Aleppo,36.206013,37.15242
9669, Aleppo > Afrin > Jandairis > Khureibah/Qurbe,Aleppo,36.206013,37.15242
9670, Aleppo > Afrin > Afrin > Burj Haydar,Aleppo,36.206013,37.15242
9671, Aleppo > Afrin > Afrin > Kabashin,Aleppo,36.206013,37.15242
9672, Aleppo > Afrin > Afrin > Fafertein,Aleppo,36.206013,37.15242
9673, Aleppo > Afrin > Afrin > Baee,Aleppo,36.206013,37.15242
9674, Aleppo > Afrin > Afrin > Basufan,Aleppo,36.206013,37.15242
9675, Aleppo > Al Bab > Ar-Ra'ee > Sandi,Aleppo,36.206013,37.15242
9676, Aleppo > Jarablus > Ghandorah,Aleppo,36.206013,37.15242
9677, Aleppo > Afrin > Bulbul,Aleppo,36.206013,37.15242
9678, Aleppo > Afrin > Jandairis,Aleppo,36.206013,37.15242
9679, Aleppo > Afrin > Ma'btali,Aleppo,36.206013,37.15242
9680, Aleppo > Afrin > Raju,Aleppo,36.206013,37.15242
9681, Aleppo > Afrin > Sharan,Aleppo,36.206013,37.15242
9682, Aleppo > Afrin > Sheikh El-Hadid,Aleppo,36.206013,37.15242
9683, Aleppo > Al Bab > Ar-Ra'ee,Aleppo,36.206013,37.15242
9684, Aleppo > A'zaz > Mare',Aleppo,36.206013,37.15242
9685, Aleppo > A'zaz > Suran,Aleppo,36.206013,37.15242
9686, Aleppo > Jarablus > Jarablus,Aleppo,36.206013,37.15242
9687, Aleppo > Jebel Saman (Aleppo) > Daret Azza,Aleppo,36.206013,37.15242
9688, Ar-Raqqa > Tell Abiad > Suluk,Ar-Raqqa,35.953075,39.006062
9689, Idleb > Ariha > Ariha,Idleb,35.929008,36.635276
9690, Idleb > Ariha > Ehsem,Idleb,35.929008,36.635276
9691, Idleb > Ariha > Mhambal,Idleb,35.929008,36.635276
9692, Idleb > Harim > Armanaz,Idleb,35.929008,36.635276
9693, Idleb > Harim > Harim,Idleb,35.929008,36.635276
9694, Idleb > Harim > Kafr Takharim,Idleb,35.929008,36.635276
9695, Idleb > Harim > Qourqeena,Idleb,35.929008,36.635276
9696, Idleb > Harim > Salqin,Idleb,35.929008,36.635276
9697, Idleb > Idleb > Bennsh,Idleb,35.929008,36.635276
9698, Idleb > Idleb > Sarmin,Idleb,35.929008,36.635276
9699, Idleb > Idleb > Teftnaz,Idleb,35.929008,36.635276
9700, Idleb > Jisr-Ash-Shugur > Badama,Idleb,35.929008,36.635276
9701, Idleb > Jisr-Ash-Shugur > Darkosh,Idleb,35.929008,36.635276
9702, Idleb > Jisr-Ash-Shugur > Janudiyeh,Idleb,35.929008,36.635276
9703, Idleb > Jisr-Ash-Shugur > Jisr-Ash-Shugur,Idleb,35.929008,36.635276
9704, Aleppo > A'zaz > Aghtrin,Aleppo,36.206013,37.15242
9705, Aleppo > A'zaz > A'zaz,Aleppo,36.206013,37.15242
9706, Idleb > Idleb > Maaret Tamsrin,Idleb,35.929008,36.635276
9707, Aleppo > Afrin > Afrin,Aleppo,36.206013,37.15242
9708, Ar-Raqqa > Tell Abiad > Tell Abiad,Ar-Raqqa,35.953075,39.006062
9709, Idleb > Jisr-Ash-Shugur > Darkosh > Zanbaqi,Idleb,35.929008,36.635276
9710, Idleb > Jisr-Ash-Shugur > Darkosh > Sadiyeh - Bsentiya,Idleb,35.929008,36.635276
9711, Idleb > Jisr-Ash-Shugur > Jisr-Ash-Shugur > Frikeh,Idleb,35.929008,36.635276
9712, Idleb > Jisr-Ash-Shugur > Darkosh > Amud,Idleb,35.929008,36.635276
9713, Idleb > Jisr-Ash-Shugur > Jisr-Ash-Shugur > Qaysiyeh,Idleb,35.929008,36.635276
9714, Idleb > Jisr-Ash-Shugur > Darkosh > Ghazala - Mgheidleh,Idleb,35.929008,36.635276
9715, Idleb > Jisr-Ash-Shugur > Janudiyeh > Hamama - Kafr Debbin,Idleb,35.929008,36.635276
9716, Idleb > Jisr-Ash-Shugur > Jisr-Ash-Shugur > Al Marj Al Akhdar,Idleb,35.929008,36.635276
9717, Idleb > Harim > Armanaz > Ghafar,Idleb,35.929008,36.635276
9718, Idleb > Harim > Armanaz > Kabta,Idleb,35.929008,36.635276
9719, Idleb > Harim > Armanaz > Kuwaro - Um Elriyah,Idleb,35.929008,36.635276
9720, Idleb > Harim > Armanaz > Tal Al dweer,Idleb,35.929008,36.635276
9721, Idleb > Harim > Armanaz > al-Baali'ah,Idleb,35.929008,36.635276
9722, Aleppo > A'zaz > Aghtrin > Teltana,Aleppo,36.206013,37.15242
9723, Aleppo > A'zaz > Aghtrin > Turkman Bareh,Aleppo,36.206013,37.15242
9724, Aleppo > A'zaz > Aghtrin > Arshaf,Aleppo,36.206013,37.15242
9725, Aleppo > A'zaz > Aghtrin > Dweidan,Aleppo,36.206013,37.15242
9726, Aleppo > A'zaz > Suran > Kafr Ghan,Aleppo,36.206013,37.15242
9727, Idleb > Idleb > Maaret Tamsrin > Arshin,Idleb,35.929008,36.635276
9728, Idleb > Harim > Kafr Takharim > Abarita,Idleb,35.929008,36.635276
9729, Idleb > Harim > Kafr Takharim > Bayates,Idleb,35.929008,36.635276
9730, Idleb > Harim > Kafr Takharim > Bshendlaya - Rashadiya,Idleb,35.929008,36.635276
9731, Idleb > Harim > Kafr Takharim > Helleh,Idleb,35.929008,36.635276
9732, Idleb > Harim > Kafr Takharim > Jadeen,Idleb,35.929008,36.635276
9733, Idleb > Harim > Kafr Takharim > Kafr Kila,Idleb,35.929008,36.635276
