PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget,FundType
1,3,2021,Bamyan,34.9073296,67.1894488,,1
1,3,2021,Daykundi,33.669495,66.0463534,,1
1,3,2021,Farah,32.495328,62.2626627,,1
1,3,2021,Faryab,36.0795613,64.905955,,1
1,3,2021,Ghor,34.0995776,64.905955,,1
1,3,2021,Hilmand,31.3636474,63.9586111,,1
1,3,2021,Hirat,34.341944,62.203056,,1
1,3,2021,Jawzjan,36.8969692,65.6658568,,1
1,3,2021,Kandahar,30.9960679,65.475736,,1
1,3,2021,Khost,33.3585079,69.8597406,,1
1,3,2021,Kunar,34.8465893,71.097317,,1
1,3,2021,Kunduz,36.8599307,68.7154975,,1
1,3,2021,Nangarhar,34.1718313,70.6216794,,1
1,3,2021,Nimroz,31.0261488,62.4504154,,1
1,3,2021,Nuristan,35.3250223,70.9071236,,1
1,3,2021,Paktika,32.2645386,68.5247149,,1
1,3,2021,Samangan,35.9807296,67.5708536,,1
1,3,2021,Sar-e-Pul,35.6707473,66.0463534,,1
1,3,2021,Takhar,36.6698013,69.4784541,,1
1,3,2021,Uruzgan,32.9271287,66.1415263,,1
1,3,2021,Wardak,34.3513494,68.2385339,,1
1,3,2022,Ghazni,33.55,68.416667,,1
1,3,2022,Khost,33.3585079,69.8597406,,1
1,3,2022,Paktika,32.2645386,68.5247149,,1
1,3,2022,Paktya,33.706199,69.3831079,,1
3,4,2018,Lunda Norte,-8.5088253,19.7538618,,1
3,4,2022,Huíla,,,,1
3,3,2016,Bengo,-8.30833915,13.88301594,,1
3,3,2016,Cunene,-16.5568536,15.7867319,,1
3,3,2016,Luanda,-8.8272699,13.2439512,,1
3,3,2016,Namibe,-15.2669341,12.7064561,,1
3,3,2017,Lunda Norte,-8.5088253,19.7538618,,1
3,3,2019,Cunene,-16.5568536,15.7867319,,1
3,3,2019,Namibe,-15.2669341,12.7064561,,1
3,3,2020,Cuando Cubango,-16.0457694,19.5621532,,1
3,3,2020,Cunene,-16.5568536,15.7867319,,1
3,3,2020,Huíla,,,,1
3,3,2020,Namibe,-15.2669341,12.7064561,,1
3,3,2021,Benguela,-12.9104657,14.0356608,,1
3,3,2021,Cuanza Sul,-10.7707527,15.0975712,,1
