PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
88,Haiti (RhPF-LAC),HTI88,ERF/H_RHPF_LAC/78018/85394/2026,2026,Government of Germany,7,11,Germany,DE,5/8/2026 12:00:00 AM,584795.32,3/3/2026 12:00:00 AM,5/26/2026 12:00:00 AM,585480.09,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.85,500000,500000,0
510,Honduras (RhPF-LAC),HN510,ERF/HO_RHPF_LAC-US/77989/85386/2026,2026,United States,102,102,United States,US,2/25/2026 12:00:00 AM,65000000,2/16/2026 12:00:00 AM,3/13/2026 12:00:00 AM,65000000,1/1/0001 12:00:00 AM,USD,1,USD,1,65000000,65000000,0
510,Honduras (RhPF-LAC),HN510,ERF/HO_RHPF_LAC-US/78145/85715/2026,2026,United States,102,102,United States,US,9/3/2026 12:00:00 AM,30000000,9/3/2026 12:00:00 AM,1/1/0001 12:00:00 AM,0,1/1/0001 12:00:00 AM,USD,1,USD,0,30000000,0,0
511,Kenya (ESAHF),KE511,ERF/K_RHPF_SEA-US/78220/85789/2026,2026,United States,102,102,United States,US,7/8/2026 12:00:00 AM,100000000,5/27/2026 12:00:00 AM,7/28/2026 12:00:00 AM,100000000,1/1/0001 12:00:00 AM,USD,1,USD,1,100000000,100000000,0
511,Kenya (ESAHF),KE511,ERF/K_RHPF_SEA-US/78003/85334/2026,2026,United States,102,102,United States,US,2/19/2026 12:00:00 AM,50000000,2/16/2026 12:00:00 AM,3/13/2026 12:00:00 AM,50000000,1/1/0001 12:00:00 AM,USD,1,USD,1,50000000,50000000,0
71,Lebanon,LBN71,ERF/3604-US/78277/85877/2026,2026,United States,102,102,United States,US,9/3/2026 12:00:00 AM,100000000,9/3/2026 12:00:00 AM,1/1/0001 12:00:00 AM,0,1/1/0001 12:00:00 AM,USD,1,USD,0,100000000,0,0
71,Lebanon,LBN71,ERF/3604/77584/84479/2025,2026,Government of Canada,119,7,Canada,CA,5/1/2025 12:00:00 AM,721500.72,3/19/2025 12:00:00 AM,7/14/2026 12:00:00 AM,708776.95,1/1/0001 12:00:00 AM,CAD,1.44,CAD,1.41,1000000,1000084.28,0
71,Lebanon,LBN71,ERF/3604/78054/85506/2026,2026,Greece,53,53,Greece,GR,3/24/2026 12:00:00 AM,346020.76,3/24/2026 12:00:00 AM,5/25/2026 12:00:00 AM,351288.06,1/1/0001 12:00:00 AM,EUR,0.87,EUR,0.85,300000,300000,0
71,Lebanon,LBN71,ERF/3604/78110/85619/2026,2026,Government of Spain,15,21,Spain,ES,5/28/2026 12:00:00 AM,1170960.19,4/23/2026 12:00:00 AM,6/16/2026 12:00:00 AM,1152073.73,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.87,1000000,1000000,0
71,Lebanon,LBN71,ERF/3604/78139/85657/2026,2026,EUROPEAN UNION,105,105,European Commission,EU,8/4/2026 12:00:00 AM,11162255.47,5/22/2026 12:00:00 AM,8/14/2026 12:00:00 AM,11162255.47,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.87,9700000,9700000,0
